"","subIDs","full_N1_all_mean_amp","full_N1_all_mean_amp_odds","full_N1_all_mean_amp_evens","full_N1_all_SME","full_P3_rare_frequent_mean_amp","full_P3_rare_frequent_mean_amp_odds","full_P3_rare_frequent_mean_amp_evens","full_P3_rare_frequent_SME","odds_N1_all_mean_amp","odds_N1_all_mean_amp_odds","odds_N1_all_mean_amp_evens","odds_N1_all_SME","odds_P3_rare_frequent_mean_amp","odds_P3_rare_frequent_mean_amp_odds","odds_P3_rare_frequent_mean_amp_evens","odds_P3_rare_frequent_SME","x99_N1_all_mean_amp","x99_N1_all_mean_amp_odds","x99_N1_all_mean_amp_evens","x99_N1_all_SME","x99_P3_rare_frequent_mean_amp","x99_P3_rare_frequent_mean_amp_odds","x99_P3_rare_frequent_mean_amp_evens","x99_P3_rare_frequent_SME","x90_N1_all_mean_amp","x90_N1_all_mean_amp_odds","x90_N1_all_mean_amp_evens","x90_N1_all_SME","x90_P3_rare_frequent_mean_amp","x90_P3_rare_frequent_mean_amp_odds","x90_P3_rare_frequent_mean_amp_evens","x90_P3_rare_frequent_SME","rejected time segments %","# rejected elecs","full ica elapsed time","odds ica elapsed time","99% PCA-ICA elapsed time","90% PCA-ICA elapsed time","99% thresh # of PCs","90% thresh # of PCs","% var mixed full","% var mixed odds","% var mixed 99","%var mixed 90","# of freq trials full","# of rare trials full","# of freq trials odds","# of rare trials odds","# of freq trials 99","# of rare trials 99","# of freq trials 90","# of rare trials 90"
"21",10720100,-1.704714,-1.544935,-1.865027,0.1442653,3.996103,4.622754,3.369452,0.6423932,-1.756505,-1.555231,-1.958452,0.1534637,3.42329,3.740429,3.106152,0.6610514,-1.677632,-1.492498,-1.863386,0.1393057,3.261337,3.732727,2.789947,0.5739818,NA,NA,NA,NA,NA,NA,NA,NA,0.773828926648088,41,1085.929429,377.535528,168.389429,7.605745,30,1,10.96004,7.980804,"10.20752","no components left after rejecting",479,120,479,120,"479","120","no trial info","no trial info"
"22",10722100,-1.201148,-1.263129,-1.138998,0.09332573,0.6514006,-0.451157,1.753958,0.9117458,-0.7754589,-0.8740596,-0.6765908,0.09782692,0.3841096,-0.2837522,1.051971,1.013489,-1.069184,-1.120532,-1.017697,0.0885383,1.606655,-0.2191253,3.432436,1.221747,-0.58399,-0.5351761,-0.6329365,0.07530643,0.8794612,0.0151044,1.743818,1.080611,8.68266027614759,0,1616.082155,700.511096,339.551477,98.083972,44,6,83.83247,69.24039,"70.64328","89.44916",572,144,572,144,"572","144","572","144"
"23",10723100,-1.344314,-1.391146,-1.297481,0.09328261,0.218887,-0.02632169,0.4640958,0.3670065,-1.372443,-1.410192,-1.334693,0.09848942,0.1692224,0.1278515,0.2105934,0.3824057,-1.353226,-1.400075,-1.306376,0.09233457,0.5251748,0.6637889,0.3865605,0.3407411,-1.315949,-1.273655,-1.358244,0.0785602,0.1135265,0.1684521,0.05860095,0.3001964,9.27239909714032,7,1486.166348,703.032162,809.364207,131.619221,82,16,82.02914,28.80136,"77.34589","42.73105",578,144,578,144,"578","144","578","144"
"24",10724100,-1.054168,-1.268199,-0.8395547,0.1616816,-0.140629,-0.8437428,0.5624847,0.7246356,-1.071686,-1.289474,-0.8533068,0.1614631,-0.1725835,-0.3478216,0.002654385,0.7062007,-1.09008,-1.302376,-0.8772069,0.1620005,-0.0001312269,-1.0752,1.074937,0.6473691,-1.032584,-1.350423,-0.7138811,0.1447807,0.01183963,-0.8178731,0.8415525,0.839649,9.12756304114725,6,1572.490252,721.417755,710.122497,80.146964,61,5,27.61656,15.05474,"25.60627","42.30433",564,148,564,148,"564","148","564","148"
"25",10725100,-1.985946,-1.937185,-2.034707,0.09502845,0.3221891,0.2785583,0.3664173,0.4924638,-1.967261,-1.919866,-2.014657,0.09075314,0.5918871,0.07046542,1.120452,0.6448688,-1.982245,-1.907357,-2.057132,0.09553555,0.7350221,0.1370093,1.341227,0.4701027,-1.67406,-1.58152,-1.7666,0.08606245,0.2490549,0.3768761,0.1194827,0.3970915,6.8258541089566,2,1118.621402,700.388388,816.578519,111.560048,87,9,67.08524,58.70017,"63.45254","36.28491",587,147,587,147,"587","147","587","147"
"26",10726100,-0.7550765,-0.7101594,-0.7999938,0.09587161,1.173655,0.8993753,1.447934,0.7148995,-0.6460267,-0.5828978,-0.7091556,0.09788965,1.984144,2.246039,1.72225,1.038292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.35042212162,10,1146.430169,601.029351,16.40906,8.528653,1,1,99.33207,99.46753,"no components left after rejecting","no components left after rejecting",531,132,531,132,"no trial info","no trial info","no trial info","no trial info"
"27",10728100,-0.2005831,-0.1444102,-0.2567559,0.1618082,0.7626981,1.304833,0.2105238,0.5881948,-0.4070202,-0.3300207,-0.4840198,0.1629038,0.4327361,0.4398015,0.4255399,1.419532,-0.2057356,-0.06522768,-0.3462435,0.1411616,0.6665574,0.9542301,0.3735575,0.4652837,-0.1636949,-0.171498,-0.155892,0.1871857,-0.5153195,0.3461491,-1.392741,1.367084,34.2408062138872,2,1010.999523,587.170257,130.255815,6.428824,21,1,13.17269,8.959488,"9.434113","80.12804",437,109,437,109,"437","109","437","109"
"28",10729200,-1.048301,-0.9655473,-1.131054,0.118586,-1.746073,-2.245343,-1.246802,0.5267668,-1.225405,-1.151128,-1.299681,0.1285741,0.02865979,-0.09712495,0.1544446,0.7288183,-1.060433,-0.9586176,-1.162248,0.1115495,-0.7596756,-1.082552,-0.4367989,0.4428977,-0.6557184,-0.5883056,-0.7231313,0.07741039,0.02927572,0.1098903,-0.05133886,0.1474411,26.0511354999544,9,1515.213396,828.876322,249.459992,40.120126,39,4,55.46085,47.39352,"43.50893","5.001648",501,126,501,126,"501","126","501","126"
"29",10730100,-2.580003,-2.61763,-2.542281,0.1092201,-0.4503585,-0.163656,-0.7370611,0.4152937,-2.670129,-2.686427,-2.65379,0.1120888,0.03374195,-1.400106,1.467589,0.6349134,-2.50395,-2.542982,-2.464819,0.1043989,-0.2965894,0.003010514,-0.5961894,0.3813007,-0.3618656,-0.3344294,-0.3893709,0.03847524,-0.00616706,-0.002268439,-0.01006568,0.004539723,0.49591265571865,3,1353.031458,792.730517,333.941949,67.00761,43,3,17.14249,13.51278,"11.82633","0",636,160,636,160,"636","160","636","160"
"30",10731100,-1.206799,-1.177631,-1.235967,0.09401715,0.09790512,-0.1724491,0.3717705,0.4024795,-1.227588,-1.13311,-1.322066,0.09620984,-0.1237913,-0.1476449,-0.09962805,0.4289163,-1.173086,-1.133126,-1.213046,0.0911741,0.2515585,0.2848127,0.2178723,0.3488648,-0.917698,-0.8600125,-0.9753837,0.07263517,-0.4938529,-0.8421942,-0.1409878,0.3709444,2.64454165753822,7,1608.10926,736.036406,768.012843,102.287141,71,7,27.15267,23.44181,"22.29767","6.457108",616,155,616,155,"616","155","616","155"
